Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,7039,CIV E,302,Solid Mechanics Lab,1002,23414,1,E103,2:00 PM,3:40 PM,T,Schraff,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7039,CIV E,302,Solid Mechanics Lab,1002,23414,1,PS231,1:00 PM,1:50 PM,T,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7040,CIV E,302,Solid Mechanics Lab,1003,23414,1,E103,2:00 PM,3:40 PM,W,Patel,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7040,CIV E,302,Solid Mechanics Lab,1003,23414,1,E201,1:00 PM,1:50 PM,W,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7042,CIV E,302,Solid Mechanics Lab,1004,23414,1,E103,12:00 PM,1:40 PM,T,Patel,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7042,CIV E,302,Solid Mechanics Lab,1004,23414,1,SSW3630,11:00 AM,11:50 AM,T,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7043,CIV E,302,Solid Mechanics Lab,1005,23414,1,E103,12:00 PM,1:40 PM,R,Patel,A,25,24,Face-to-face
SDSU,Fall 2023,UGRD,7043,CIV E,302,Solid Mechanics Lab,1005,23414,1,SSW3630,11:00 AM,11:50 AM,R,,,25,24,Face-to-face
SDSU,Fall 2023,UGRD,7044,CIV E,302,Solid Mechanics Lab,1006,23414,1,E103,11:00 AM,12:40 PM,F,Patel,A,25,17,Face-to-face
SDSU,Fall 2023,UGRD,7044,CIV E,302,Solid Mechanics Lab,1006,23414,1,LH251,10:00 AM,10:50 AM,F,,,25,17,Face-to-face
SDSU,Fall 2023,UGRD,7045,CIV E,321,Structural Analysis I,1001,34027,3,BT161,4:00 PM,5:15 PM,MW,Dowell,R,100,53,Face-to-face
SDSU,Fall 2023,UGRD,7047,CIV E,401,Civil Engin and Society,1001,25098,1,SH105,12:00 PM,12:50 PM,W,Faraone,G,50,48,Face-to-face
SDSU,Fall 2023,GRAD,7816,CIV E,798,Special Study,1001,23595,3,,,,ARR,Zhao,D,1,0,Face-to-face
SDSU,Fall 2023,GRAD,7820,CIV E,798,Special Study,3001,23595,3,,,,ARR,Zhao,D,5,0,Face-to-face
SDSU,Fall 2023,GRAD,7822,CIV E,798,Special Study,3002,23595,3,,,,ARR,Alves,T,5,0,Face-to-face
SDSU,Fall 2023,GRAD,7825,CIV E,798,Special Study,3003,23595,3,,,,ARR,Faraone,G,5,0,Face-to-face
SDSU,Fall 2023,GRAD,7826,CIV E,798,Special Study,3004,23595,3,,,,ARR,Bayasi,M,5,0,Face-to-face
SDSU,Fall 2023,GRAD,7828,CIV E,798,Special Study,3005,23595,3,,,,ARR,Ghanipoor Machiani,S,5,0,Face-to-face
SDSU,Fall 2023,UGRD,5818,A E,320,Astrodynamics,1001,36646,3,SSE1401,7:00 PM,8:15 PM,TR,Butler,G,120,87,Face-to-face
SDSU,Fall 2023,UGRD,6528,M E,200,Statics,3001,36647,3,SSW1500,5:30 PM,6:45 PM,TR,Ayala,R,90,80,Face-to-face
SDSU,Fall 2023,UGRD,6530,M E,202,Computer Prog Application,1001,36744,2,SHW012,5:30 PM,6:15 PM,MW,Pakravan,A,80,80,Face-to-face
SDSU,Fall 2023,UGRD,6536,M E,202,Computer Prog Application,1002,36744,1,SHW012,6:20 PM,6:45 PM,MW,Pakravan,A,80,80,Face-to-face
SDSU,Fall 2023,UGRD,6537,M E,202,Computer Prog Application,2001,36744,2,LH347,8:00 AM,8:50 AM,MW,Al Roomi,L,80,51,Face-to-face
SDSU,Fall 2023,UGRD,6538,M E,202,Computer Prog Application,2002,36744,1,LH347,8:50 AM,9:15 AM,MW,Al Roomi,L,80,51,Face-to-face
SDSU,Fall 2023,UGRD,6539,M E,202,Computer Prog Application,3001,36744,2,PSFA350,9:00 AM,9:50 AM,MW,,,50,0,Face-to-face
SDSU,Fall 2023,UGRD,6552,M E,202,Computer Prog Application,3002,36744,2,PSFA350,9:50 AM,10:15 AM,MW,,,50,0,Face-to-face
SDSU,Fall 2023,UGRD,8296,M E,499,Special Study,3007,2314,3,,,,ARR,Nili Ahmadabadi,Z,10,1,Face-to-face
SDSU,Fall 2023,UGRD,8297,M E,499,Special Study,3008,2314,3,,,,ARR,Moon,K,10,1,Face-to-face
SDSU,Fall 2023,UGRD,8298,M E,499,Special Study,3009,2314,3,,,,ARR,Torresani,E,10,0,Face-to-face
SDSU,Fall 2023,UGRD,8301,M E,499,Special Study,3010,2314,3,,,,ARR,Yang,Y,10,2,Face-to-face
SDSU,Fall 2023,UGRD,8305,M E,499,Special Study,3011,2314,3,,,,ARR,Kassegne,S,10,2,Face-to-face
SDSU,Fall 2023,UGRD,8306,M E,499,Special Study,3012,2314,3,,,,ARR,May-Newman,K,10,1,Face-to-face
SDSU,Fall 2023,UGRD,7236,CON E,101,Construction & Culture,1001,37470,3,OP220,9:00 AM,9:50 AM,MWF,Alves,T,159,120,Face-to-face
SDSU,Fall 2023,UGRD,7237,CON E,102,Fundamentals Constrct Mgt,1001,37973,1,GMCS313,11:00 AM,11:50 AM,F,Alves,T,51,50,Face-to-face
SDSU,Fall 2023,UGRD,7238,CON E,215,Virtual Design & Constr,1001,37974,2,PS231,5:30 PM,6:45 PM,TR,Mao,Z,41,40,Face-to-face
SDSU,Fall 2023,UGRD,7239,CON E,215,Virtual Design & Constr,1002,37974,1,,,,ARR,Mao,Z,41,40,Face-to-face
SDSU,Fall 2023,UGRD,7241,CON E,301,Constr Ethics Law & Contr,1001,28390,3,E423B,9:30 AM,10:45 AM,TR,Alves,T,47,47,Face-to-face
SDSU,Fall 2023,UGRD,7242,CON E,312,Mech/Elec Prin for Constr,1001,37977,2,E300,5:30 PM,6:45 PM,TR,Beheshti,M,41,41,Face-to-face
SDSU,Fall 2023,UGRD,7243,CON E,312,Mech/Elec Prin for Constr,1002,37977,1,E300,7:00 PM,8:40 PM,R,Beheshti,M,41,41,Face-to-face
SDSU,Fall 2023,UGRD,7244,CON E,320,Construction Estimating,1001,37978,2,P144,4:00 PM,5:15 PM,TR,Luckhardt,D,49,42,Face-to-face
SDSU,Fall 2023,UGRD,6503,M E,190,Computer-Aided Design,3002,37991,1,E221,9:00 AM,11:40 AM,F,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6506,M E,190,Computer-Aided Design,4001,37991,1,E221,12:00 PM,12:50 PM,M,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6508,M E,190,Computer-Aided Design,4002,37991,1,E221,1:00 PM,3:40 PM,M,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6509,M E,190,Computer-Aided Design,5001,37991,1,E221,12:00 PM,12:50 PM,F,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6511,M E,190,Computer-Aided Design,5002,37991,1,E221,1:00 PM,3:40 PM,F,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6513,M E,190,Computer-Aided Design,6001,37991,1,E221,5:00 PM,5:50 PM,F,Lee,A,40,40,Face-to-face
SDSU,Fall 2023,UGRD,7711,CIV E,499,Special Study,3011,23434,3,,,,ARR,Jahangiri,A,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7712,A E,499,Special Study,3005,33692,3,,,,ARR,Liu,X,5,2,Face-to-face
SDSU,Fall 2023,UGRD,7714,CIV E,499,Special Study,3012,23434,3,,,,ARR,Miletic,M,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7715,A E,499,Special Study,3006,33692,3,,,,ARR,Bani Younes,A,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7716,CIV E,499,Special Study,3013,23434,3,,,,ARR,Akhavian,R,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7717,CIV E,499,Special Study,3014,23434,3,,,,ARR,Sepulveda Oyarzun,I,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7718,A E,499,Special Study,3007,33692,3,,,,ARR,Chen,J,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7719,A E,499,Special Study,3008,33692,3,,,,ARR,Popov,P,5,0,Face-to-face
SDSU,Fall 2023,UGRD,7720,A E,499,Special Study,3009,33692,3,,,,ARR,Capriotti,M,5,0,Face-to-face
